symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2016-01-04 00:00:00-05:00,200.49,201.03,198.59,201.0192,225903783.0,655489.0,200.656423
SPY,2016-01-05 00:00:00-05:00,201.405,201.9,200.05,201.36,112719152.0,418709.0,201.08428
SPY,2016-01-06 00:00:00-05:00,198.33,200.06,197.6,198.82,153948196.0,548386.0,198.95646
SPY,2016-01-07 00:00:00-05:00,195.33,197.44,193.59,194.05,216191953.0,796451.0,195.345911
SPY,2016-01-08 00:00:00-05:00,195.19,195.85,191.58,191.923,216105404.0,754102.0,193.644537
SPY,2016-01-11 00:00:00-05:00,193.01,193.41,189.82,192.11,205368067.0,701548.0,191.757659
SPY,2016-01-12 00:00:00-05:00,193.82,194.55,191.14,193.6608,175844276.0,635749.0,192.902295
SPY,2016-01-13 00:00:00-05:00,194.45,194.86,188.38,188.83,223632834.0,812694.0,191.13459
SPY,2016-01-14 00:00:00-05:00,189.55,193.26,187.66,191.93,243821116.0,824320.0,190.77655
SPY,2016-01-15 00:00:00-05:00,186.77,188.76,185.52,187.81,333774073.0,1104776.0,187.694544
SPY,2016-01-19 00:00:00-05:00,189.96,190.11,186.2,188.06,207102007.0,700807.0,188.299628
SPY,2016-01-20 00:00:00-05:00,185.03,187.495,181.02,185.65,293247287.0,1102479.0,184.200832
SPY,2016-01-21 00:00:00-05:00,186.21,188.87,184.64,186.69,199821181.0,805415.0,186.968758
SPY,2016-01-22 00:00:00-05:00,189.78,190.76,188.88,190.52,171389049.0,613543.0,189.815621
SPY,2016-01-25 00:00:00-05:00,189.93,190.15,187.41,187.64,135298156.0,489715.0,188.931118
SPY,2016-01-26 00:00:00-05:00,188.42,190.53,188.02,190.2,143190788.0,498828.0,189.541679
SPY,2016-01-27 00:00:00-05:00,189.58,191.56,187.06,188.13,189479992.0,744100.0,189.33326
SPY,2016-01-28 00:00:00-05:00,189.96,190.2,187.16,189.11,145256707.0,618989.0,188.97204
SPY,2016-01-29 00:00:00-05:00,190.01,193.88,189.88,193.7208,226671934.0,637145.0,192.261177
SPY,2016-02-01 00:00:00-05:00,192.53,194.58,191.84,193.65,139106693.0,488411.0,193.296657
SPY,2016-02-02 00:00:00-05:00,191.96,191.97,189.54,190.16,183818148.0,575174.0,191.189497
SPY,2016-02-03 00:00:00-05:00,191.41,191.78,187.1,191.3,206689208.0,885130.0,189.606306
SPY,2016-02-04 00:00:00-05:00,190.71,192.75,189.96,191.6,140494107.0,638013.0,191.259278
SPY,2016-02-05 00:00:00-05:00,190.99,191.6696,187.2,187.95,183498109.0,666599.0,188.850573
SPY,2016-02-08 00:00:00-05:00,185.77,186.12,182.8,185.42,193210895.0,769589.0,184.555148
SPY,2016-02-09 00:00:00-05:00,183.36,186.94,183.2,185.43,187349355.0,786774.0,185.048589
SPY,2016-02-10 00:00:00-05:00,186.41,188.34,185.12,185.27,149270874.0,657626.0,186.580554
SPY,2016-02-11 00:00:00-05:00,182.34,184.1,181.09,182.86,220503168.0,877027.0,182.856127
SPY,2016-02-12 00:00:00-05:00,184.96,186.65,183.96,186.63,132827109.0,521864.0,185.580122
SPY,2016-02-16 00:00:00-05:00,188.77,189.81,187.63,189.78,124806967.0,447874.0,189.014928
SPY,2016-02-17 00:00:00-05:00,191.17,193.32,191.01,192.88,137936059.0,531583.0,192.270038
SPY,2016-02-18 00:00:00-05:00,193.2,193.27,191.72,192.09,103630950.0,459680.0,192.382572
SPY,2016-02-19 00:00:00-05:00,191.17,192.18,190.45,192.0,117844861.0,424661.0,191.562853
SPY,2016-02-22 00:00:00-05:00,193.87,194.95,193.79,194.78,110378274.0,360507.0,194.347157
SPY,2016-02-23 00:00:00-05:00,193.99,194.32,192.18,192.32,112962491.0,434602.0,193.064938
SPY,2016-02-24 00:00:00-05:00,190.63,193.53,189.32,193.2,159573885.0,588124.0,191.513613
SPY,2016-02-25 00:00:00-05:00,193.73,195.55,192.83,195.54,114169518.0,417790.0,194.235931
SPY,2016-02-26 00:00:00-05:00,196.57,196.68,194.9,195.0892,133322130.0,461021.0,195.67279
SPY,2016-02-29 00:00:00-05:00,195.11,196.23,193.33,193.35,130754750.0,428044.0,194.723359
SPY,2016-03-01 00:00:00-05:00,195.01,198.21,194.4542,198.11,149240057.0,495960.0,196.652547
SPY,2016-03-02 00:00:00-05:00,197.74,199.06,197.25,199.0,105710824.0,424659.0,198.227187
SPY,2016-03-03 00:00:00-05:00,198.79,199.795,198.11,199.775,99753935.0,372930.0,198.999729
SPY,2016-03-04 00:00:00-05:00,200.01,201.35,199.03,200.43,130997120.0,497772.0,200.263981
SPY,2016-03-07 00:00:00-05:00,199.34,201.07,199.25,200.59,103795836.0,376260.0,200.197049
SPY,2016-03-08 00:00:00-05:00,199.32,199.92,198.21,198.4,130694666.0,503031.0,199.068497
SPY,2016-03-09 00:00:00-05:00,199.36,199.79,198.43,199.38,99817255.0,366554.0,199.191306
SPY,2016-03-10 00:00:00-05:00,199.96,201.07,197.38,199.54,162803575.0,629939.0,199.219447
SPY,2016-03-11 00:00:00-05:00,201.26,210.55,199.5179,202.76,140096982.0,426087.0,201.741439
SPY,2016-03-14 00:00:00-04:00,202.16,203.04,201.77,202.5,75780385.0,297697.0,202.469782
SPY,2016-03-15 00:00:00-04:00,201.36,202.5307,201.05,202.17,100377847.0,322276.0,201.806884
SPY,2016-03-16 00:00:00-04:00,201.6,203.82,201.55,203.34,134058622.0,497352.0,202.739823
SPY,2016-03-17 00:00:00-04:00,203.24,205.23,202.77,204.63,142855629.0,424816.0,204.211093
SPY,2016-03-18 00:00:00-04:00,204.18,204.78,203.8,204.38,143516983.0,448892.0,204.316979
SPY,2016-03-21 00:00:00-04:00,204.07,204.94,203.8,204.67,74822013.0,281086.0,204.485015
SPY,2016-03-22 00:00:00-04:00,203.76,205.23,203.57,204.56,102471246.0,334193.0,204.597355
SPY,2016-03-23 00:00:00-04:00,204.11,204.33,203.01,203.2092,82298399.0,348025.0,203.65989
SPY,2016-03-24 00:00:00-04:00,202.0,203.16,201.74,203.12,87233294.0,309977.0,202.601637
SPY,2016-03-28 00:00:00-04:00,203.61,203.86,202.705,203.24,65368442.0,265041.0,203.313909
SPY,2016-03-29 00:00:00-04:00,202.76,205.25,202.4,205.1208,95285880.0,370202.0,204.113306
SPY,2016-03-30 00:00:00-04:00,206.3,206.87,205.59,206.02,88696267.0,336442.0,206.18259
SPY,2016-03-31 00:00:00-04:00,205.91,206.41,205.33,205.52,100166636.0,330389.0,205.84268
SPY,2016-04-01 00:00:00-04:00,204.35,207.14,203.98,206.92,121327177.0,396906.0,206.082573
SPY,2016-04-04 00:00:00-04:00,206.83,207.07,205.89,206.25,68935505.0,249273.0,206.402542
SPY,2016-04-05 00:00:00-04:00,204.67,206.2642,203.89,204.19,101675003.0,351546.0,204.572082
SPY,2016-04-06 00:00:00-04:00,204.29,206.49,203.98,206.42,94201589.0,391435.0,205.398886
SPY,2016-04-07 00:00:00-04:00,205.14,205.56,203.09,203.95,116797387.0,411651.0,204.379544
SPY,2016-04-08 00:00:00-04:00,205.34,205.85,203.87,204.4992,100794149.0,352141.0,204.789733
SPY,2016-04-11 00:00:00-04:00,205.25,206.07,203.91,204.0201,89038432.0,326083.0,204.838344
SPY,2016-04-12 00:00:00-04:00,204.22,206.25,203.7,205.92,121854818.0,381769.0,205.143304
SPY,2016-04-13 00:00:00-04:00,207.0,208.1,206.84,208.0008,98621124.0,353011.0,207.431146
SPY,2016-04-14 00:00:00-04:00,208.07,208.6,207.6,208.01,66100211.0,263287.0,208.088025
SPY,2016-04-15 00:00:00-04:00,208.01,208.1721,207.4,207.78,81571942.0,250756.0,207.857682
SPY,2016-04-18 00:00:00-04:00,207.14,209.28,207.0,209.2392,86830877.0,268237.0,208.649007
SPY,2016-04-19 00:00:00-04:00,209.74,210.2,208.94,209.9,93991305.0,324662.0,209.703217
SPY,2016-04-20 00:00:00-04:00,209.95,210.92,209.39,210.1,83948233.0,266778.0,210.146714
SPY,2016-04-21 00:00:00-04:00,210.12,210.25,208.65,208.97,88507080.0,294913.0,209.433667
